title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label,lm_positive_count,lm_negative_count,lm_net_score
"Great company for agile, hard-workers",5.0,2023-08-01,"Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.","Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.",prolog truli world class ceo hamid industri help prolog becom global leader industri real lead confid thought micro individu support offic commun friendli excel balanc hard hard succeed folk natur driven like,"Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.",develop industri strongli focus tend roll initi thoroughli instead adopt feedback pain process provid feedback fail initi launch leadership request prove case instead take formal note feedback earli launch mani process add without valu task alreadi complic,"Great company for agile, hard-workers",great hard worker,0.1637912541627884,0.01825428009033203,0.8179544806480408,0.14553697407245636,neutral,0,0,0.0
Good place to work,5.0,2025-04-03,"The company is full of smart, high performing people.",The workload and pace can be exhausting,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The company is full of smart, high performing people.",full high perform,The workload and pace can be exhausting,workload pace exhaust,Good place to work,good place,0.38154131174087524,0.08276648074388504,0.5356921553611755,0.2987748384475708,neutral,0,0,0.0
Over 2 decades of job satisfaction,5.0,2024-10-07,"I love the company culture, the benefits, and the fact that we are constantly leading the industry in how we operate and strive to keep our customers happy.","Part of being a leader in the industry means a lot of initiatives, change, testing and scrapping ideas, data collection -- it's a busy place!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"I love the company culture, the benefits, and the fact that we are constantly leading the industry in how we operate and strive to keep our customers happy.",love fact constantli lead industri oper strive keep custom,"Part of being a leader in the industry means a lot of initiatives, change, testing and scrapping ideas, data collection -- it's a busy place!",part leader industri mean lot test scrap data collect busi,Over 2 decades of job satisfaction,decad satisfact,0.12198083847761154,0.017921216785907745,0.8600978851318359,0.1040596216917038,neutral,0,0,0.0
Best Culture period. Purpose-Driven and People-First,5.0,2025-03-28,"Prologis has created a workplace that blends accountability with autonomy. The culture is hard to beat—fun, hardworking, down-to-earth, and rooted in doing the right thing. Everyone—from leadership to peers—genuinely cares about making a positive impact. We're encouraged to be ourselves, take smart risks, and support one another. It's fast-paced, but fun, and a shared sense of pride in leaving the world better than we found it. The global scope of the business adds exciting meaning to the work. You feel part of something much bigger than yourself, with real impact felt across communities.","Like any high-performing environment, things move quickly. Those who prefer a slower pace or a lot of handholding may find it challenging. You’ll thrive here if you’re self-motivated and collaborative.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis has created a workplace that blends accountability with autonomy. The culture is hard to beat—fun, hardworking, down-to-earth, and rooted in doing the right thing. Everyone—from leadership to peers—genuinely cares about making a positive impact. We're encouraged to be ourselves, take smart risks, and support one another. It's fast-paced, but fun, and a shared sense of pride in leaving the world better than we found it. The global scope of the business adds exciting meaning to the work. You feel part of something much bigger than yourself, with real impact felt across communities.",prolog creat workplac blend account cultur hard beat root right everyon leadership peer genuin care make posit encourag take smart support fast share sens pride leav world better found global scope busi add excit mean feel part someth much bigger real impact felt across,"Like any high-performing environment, things move quickly. Those who prefer a slower pace or a lot of handholding may find it challenging. You’ll thrive here if you’re self-motivated and collaborative.",high perform thing move prefer slower pace lot handhold may find thrive self motiv,Best Culture period. Purpose-Driven and People-First,best cultur purpos driven first,0.21992911398410797,0.014071943238377571,0.7659989595413208,0.20585717260837555,neutral,0,0,0.0
Real Culture. Amazing People.,5.0,2025-05-23,"The culture here is truly special. People are kind, authentic, and genuinely invested in one another’s success. It's not uncommon to meet colleagues who’ve been here for 5, 10, even 15+ years—something that feels almost unheard of these days. That kind of longevity speaks to how much people care about the work and each other. Access to leadership is another standout—our C-suite is approachable, down to earth, and easy to talk to. It’s a highly collaborative environment where integrity and doing what’s right (especially for the planet) are more than just stated values—they’re part of the day-to-day decision-making.","Like any fast-moving company, things can change quickly, and sometimes communication doesn’t always keep pace. Cross-functional alignment can occasionally be a challenge as teams navigate shifting priorities. Also, because so many people stay here long term, career movement can feel slower unless you actively seek out new opportunities or advocate for your own growth.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The culture here is truly special. People are kind, authentic, and genuinely invested in one another’s success. It's not uncommon to meet colleagues who’ve been here for 5, 10, even 15+ years—something that feels almost unheard of these days. That kind of longevity speaks to how much people care about the work and each other. Access to leadership is another standout—our C-suite is approachable, down to earth, and easy to talk to. It’s a highly collaborative environment where integrity and doing what’s right (especially for the planet) are more than just stated values—they’re part of the day-to-day decision-making.",cultur truli genuin invest anoth uncommon meet colleagu even year someth feel almost unheard kind longev speak much care access leadership anoth standout suit easi talk highli collabor environ integr right especi planet state valu part day day decis,"Like any fast-moving company, things can change quickly, and sometimes communication doesn’t always keep pace. Cross-functional alignment can occasionally be a challenge as teams navigate shifting priorities. Also, because so many people stay here long term, career movement can feel slower unless you actively seek out new opportunities or advocate for your own growth.",fast move thing chang sometim commun alway keep cross function align occasion challeng team navig shift mani stay long career movement feel slower unless activ seek new opportun advoc,Real Culture. Amazing People.,real amaz,0.12180840969085693,0.03887050226330757,0.8393210768699646,0.08293791115283966,neutral,0,0,0.0
Yes- It really is one of the best places to work,5.0,2024-09-13,"The people are great to work with and have genuine engagement and are excited to be at work. It seems like a smaller company, as an employee you feel like your wellbeing is a priority.","There are times when the work life balance can be off, but that's not a consistent event, but has to do with the inevitability of uneven workload over the course of the year.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The people are great to work with and have genuine engagement and are excited to be at work. It seems like a smaller company, as an employee you feel like your wellbeing is a priority.",great genuin engag excit seem smaller feel wellb,"There are times when the work life balance can be off, but that's not a consistent event, but has to do with the inevitability of uneven workload over the course of the year.",time life balanc consist inevit uneven workload cours,Yes- It really is one of the best places to work,ye realli best place,0.31982359290122986,0.028430083766579628,0.651746392250061,0.291393518447876,neutral,0,0,0.0
"Strong culture, great people",5.0,2024-09-22,Strong company culture. Very talented and dedicated people who are great to work with.,Work life balance is tough at times but not always.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong company culture. Very talented and dedicated people who are great to work with.,strong talent dedic great,Work life balance is tough at times but not always.,life balanc tough time,"Strong culture, great people",strong great,0.35903891921043396,0.010045478120446205,0.6309155821800232,0.3489934504032135,neutral,1,0,0.25
Fun place to work,5.0,2024-10-13,"Smart people, wide variety of things to be involved in, flexible culture","Fast-paced, but I enjoy that","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Smart people, wide variety of things to be involved in, flexible culture",smart wide varieti thing involv flexibl cultur,"Fast-paced, but I enjoy that",fast enjoy,Fun place to work,fun place,0.10869469493627548,0.011855940334498882,0.8794494271278381,0.09683875739574432,neutral,0,0,0.0
Energizing People and Portfolios,5.0,2025-06-13,"Working at Prologis has been one of the most rewarding experiences of my career. The company truly values both its clients and employees, and that shows up in everything we do. What I appreciate most is how grounded we are in our core values of integrity, accountability, passion and teamwork while always looking ahead and embracing change. I’ve felt empowered to ask bold questions, bring new ideas forward and collaborate with incredibly thoughtful and driven teammates. The culture here is proactive, supportive and genuinely human. Prologis doesn't just talk about making an impact, we live it every day together","Prologis moves at such a fast pace and sets a high bar for performance, it can take time to adjust if you're new to the industry or not used to cross-functional collaboration. The environment expects proactive thinking, which is incredibly rewarding, but also requires you to stay sharp and flexible.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Working at Prologis has been one of the most rewarding experiences of my career. The company truly values both its clients and employees, and that shows up in everything we do. What I appreciate most is how grounded we are in our core values of integrity, accountability, passion and teamwork while always looking ahead and embracing change. I’ve felt empowered to ask bold questions, bring new ideas forward and collaborate with incredibly thoughtful and driven teammates. The culture here is proactive, supportive and genuinely human. Prologis doesn't just talk about making an impact, we live it every day together",prolog reward experi truli valu client show everyth appreci ground core valu passion teamwork alway look ahead embrac felt empow ask bold bring new idea forward collabor incred thought driven cultur support genuin prolog talk make live everi day togeth,"Prologis moves at such a fast pace and sets a high bar for performance, it can take time to adjust if you're new to the industry or not used to cross-functional collaboration. The environment expects proactive thinking, which is incredibly rewarding, but also requires you to stay sharp and flexible.",prolog move fast pace set high bar take adjust new industri use cross function environ expect proactiv incred requir stay sharp,Energizing People and Portfolios,energ portfolio,0.18445059657096863,0.014724195934832096,0.8008251786231995,0.1697264015674591,neutral,0,0,0.0
Purpose-Driven Company That Invests in People and Culture,5.0,2025-05-23,Strong leadership and transparent communication Supportive and inclusive work culture Commitment to sustainability and community impact Generous benefits and wellness resources Growth opportunities and mentorship programs,"Honestly, very few. Like any fast-paced company, priorities can shift quickly—but it's part of what keeps the work exciting. If you're looking for a place where you can grow, make a difference, and work with incredible people, Prologis is it.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong leadership and transparent communication Supportive and inclusive work culture Commitment to sustainability and community impact Generous benefits and wellness resources Growth opportunities and mentorship programs,strong leadership transpar commun support inclus cultur commit sustain commun impact gener benefit well resourc growth opportun mentorship program,"Honestly, very few. Like any fast-paced company, priorities can shift quickly—but it's part of what keeps the work exciting. If you're looking for a place where you can grow, make a difference, and work with incredible people, Prologis is it.",fast pace prioriti shift quickli part keep look place incred prolog,Purpose-Driven Company That Invests in People and Culture,purpos driven invest cultur,0.4063882827758789,0.008986879140138626,0.5846248865127563,0.3974013924598694,neutral,3,0,0.15789473684210525
Great Perks Heavy Work Load,4.0,2025-10-04,Company has lots of perks. Snacks lunches outings etc. Remote day.,Pretty unrealistic work load. They ask a lot of their employees and aren’t the best with training their leadership.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Company has lots of perks. Snacks lunches outings etc. Remote day.,lot snack lunch outing remot,Pretty unrealistic work load. They ask a lot of their employees and aren’t the best with training their leadership.,pretti unrealist ask lot employe best train,Great Perks Heavy Work Load,great perk heavi load,0.08380002528429031,0.034698426723480225,0.8815016150474548,0.04910159856081009,neutral,0,0,0.0
Why I Chose Prologis,5.0,2024-10-04,"Prologis remains the best employer I have worked for. I started as temp nearly 12 years ago and within my first week I decided that I wanted to work for and retire from this company. Luckily they wanted me as much as I wanted them. The culture, values and commitment to excellence were evident then and continue to be so today. The sense of pride I continue to feel in our shared values - integrity, mentorship, passion, accountability, courage and teamwork - is why I stay. It is a rare opportunity to find a company that aligns so closely with one's personal values.",After 12 years of employment here the pros heavily outweigh the cons. The pace for professional advancement - especially on the operations side of our business is slow and often frustrating. Opportunities for promotions are not easy to come by.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis remains the best employer I have worked for. I started as temp nearly 12 years ago and within my first week I decided that I wanted to work for and retire from this company. Luckily they wanted me as much as I wanted them. The culture, values and commitment to excellence were evident then and continue to be so today. The sense of pride I continue to feel in our shared values - integrity, mentorship, passion, accountability, courage and teamwork - is why I stay. It is a rare opportunity to find a company that aligns so closely with one's personal values.",prolog remain best work start temp nearli year ago within first week decid want retir luckili want much want valu commit excel evid continu sens pride continu feel share valu courag teamwork rare opportun find align close person,After 12 years of employment here the pros heavily outweigh the cons. The pace for professional advancement - especially on the operations side of our business is slow and often frustrating. Opportunities for promotions are not easy to come by.,year employ pro heavili outweigh pace profession advanc especi oper side busi slow often opportun promot easi come,Why I Chose Prologis,chose prolog,0.23915085196495056,0.018561067059636116,0.7422880530357361,0.2205897867679596,neutral,0,0,0.0
The best people = a great company!,4.0,2024-09-17,"Top notch people, excellent leadership and industry leading business practices.",I dont really see cons for working at Prologis. Its a great company to work for!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Top notch people, excellent leadership and industry leading business practices.",top notch excel leadership industri lead busi,I dont really see cons for working at Prologis. Its a great company to work for!,dont realli see con great,The best people = a great company!,best great,0.39967334270477295,0.01098479051142931,0.5893418788909912,0.3886885643005371,neutral,0,0,0.0
"Great culture, vision, and values",5.0,2025-03-19,Leadership does an amazing job being ahead of the industry in vision and goals. Truly globally minded organization. Exciting place to work with ripe opportunities for those who are interested. Culture of openness and honest principles - not just corporate speak around fanciful ideologies.,"Hard work culture, driven by insistence of excellence, which is not necessarily a bad thing but could lead to burn out especially with resource constraints and headcount limits.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Leadership does an amazing job being ahead of the industry in vision and goals. Truly globally minded organization. Exciting place to work with ripe opportunities for those who are interested. Culture of openness and honest principles - not just corporate speak around fanciful ideologies.,leadership amaz ahead industri vision truli global mind excit place ripe opportun cultur open honest principl corpor speak around fanci,"Hard work culture, driven by insistence of excellence, which is not necessarily a bad thing but could lead to burn out especially with resource constraints and headcount limits.",hard driven insist necessarili bad thing lead burn especi resourc constraint headcount,"Great culture, vision, and values",great valu,0.214109405875206,0.016794120892882347,0.7690964937210083,0.1973152905702591,neutral,0,0,0.0
People love it here,5.0,2025-06-10,"Great culture, terrific leadership and the company has bold ambitions worldwide. An inspiring place to work and colleagues treat each other with respect.",There is a lot to do!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Great culture, terrific leadership and the company has bold ambitions worldwide. An inspiring place to work and colleagues treat each other with respect.",great terrif leadership bold ambit inspir place colleagu treat,There is a lot to do!,lot,People love it here,love,0.3337220847606659,0.011085261590778828,0.6551926136016846,0.32263681292533875,neutral,0,0,0.0
Committed to excellence,4.0,2024-09-11,Strong commitment to walking the walk and being the best in class,Organizations can be a little silo'd with similar functions doing things differently,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong commitment to walking the walk and being the best in class,strong commit walk walk best class,Organizations can be a little silo'd with similar functions doing things differently,organ littl silo similar function thing differ,Committed to excellence,commit excel,0.192823588848114,0.017017444595694542,0.7901590466499329,0.17580614984035492,neutral,1,0,0.16666666666666666
Great Place to Work,5.0,2024-09-09,"Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",Relatively small workforce size can mean slower career progression in some functions.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",great willing invest innov new strong focu,Relatively small workforce size can mean slower career progression in some functions.,rel small workforc size mean slower career progress,Great Place to Work,great place,0.5747104287147522,0.013592896983027458,0.4116966426372528,0.5611175298690796,positive,1,0,0.14285714285714285
Chill work environment,5.0,2025-07-02,Definitely love the environment and very knowledgeable coworkers.,I would say the pay is not that competitive.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Definitely love the environment and very knowledgeable coworkers.,definit love environ knowledg,I would say the pay is not that competitive.,say pay,Chill work environment,chill environ,0.06189943104982376,0.02056853473186493,0.9175320267677307,0.04133089631795883,neutral,0,0,0.0
Industry Leader,5.0,2025-07-17,Great culture and innovative atmosphere,Understand your department wisely and career growth,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great culture and innovative atmosphere,great cultur innov atmospher,Understand your department wisely and career growth,understand depart wise career growth,Industry Leader,industri leader,0.11310085654258728,0.011245623230934143,0.8756535053253174,0.10185523331165314,neutral,0,0,0.0
Walking the Walk with Culture and Values,4.0,2024-10-04,"- Incredibly kind, passionate people -Commitment and action related to ESG, as well as diversity, equity, inclusion and belonging - Focus on embracing change and doing things differently","- Leaders don't effectively model a healthy work-life balance - Health insurance options are surprisingly very limited given company size - The company lives by innovation, but at times decisions feel more influenced by leaders' personal preferences","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- Incredibly kind, passionate people -Commitment and action related to ESG, as well as diversity, equity, inclusion and belonging - Focus on embracing change and doing things differently",incred passion commit action relat well inclus belong focu embrac chang thing differ,"- Leaders don't effectively model a healthy work-life balance - Health insurance options are surprisingly very limited given company size - The company lives by innovation, but at times decisions feel more influenced by leaders' personal preferences",leader effect model healthi life balanc health insur option surprisingli limit given size live time decis feel influenc leader person prefer,Walking the Walk with Culture and Values,walk walk cultur valu,0.1689470261335373,0.015765130519866943,0.8152878284454346,0.15318189561367035,neutral,0,0,0.0
Prologis is a great place to work!,5.0,2025-06-13,"Culture - It's the reason I am still here after almost 13yrs. People - You will be challenged and pushed as you are surrounded by truly the best in the industry. Expect change, its a differentiator for us and our people and its constant... which means you will always be learnign something new. Innovative - We welcome new ideas and are eager to find better ways of doing things. This is a culture that welcomes innovative ideas that challenge the status quo. Offices - The offices are all newly remodeled and provide a welcoming, unique feel that attracts top talent in the markets we serve. Inclusive - We have an incredibly diverse workforce which provides a welcoming and inclusive work environment where all voices are welcomed and heard.","Challenging/Expect Constant Change - Not for everyone as we are looking for people who are willing to push themselves to maximize their potential and grow together. This is a place to create a career, not just have a job.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Culture - It's the reason I am still here after almost 13yrs. People - You will be challenged and pushed as you are surrounded by truly the best in the industry. Expect change, its a differentiator for us and our people and its constant... which means you will always be learnign something new. Innovative - We welcome new ideas and are eager to find better ways of doing things. This is a culture that welcomes innovative ideas that challenge the status quo. Offices - The offices are all newly remodeled and provide a welcoming, unique feel that attracts top talent in the markets we serve. Inclusive - We have an incredibly diverse workforce which provides a welcoming and inclusive work environment where all voices are welcomed and heard.",cultur reason still almost challeng push surround truli best expect differenti us mean alway learnign someth innov welcom new idea eager find better way cultur welcom innov idea challeng statu offic offic newli remodel provid uniqu feel attract top talent market inclus incred divers workforc provid welcom inclus environ voic welcom,"Challenging/Expect Constant Change - Not for everyone as we are looking for people who are willing to push themselves to maximize their potential and grow together. This is a place to create a career, not just have a job.",challeng expect constant chang everyon look will push maxim potenti grow place creat,Prologis is a great place to work!,prolog great place,0.2101805955171585,0.012036600150167942,0.7777827382087708,0.19814398884773254,neutral,0,0,0.0
Amazing place to work!,5.0,2025-07-01,"Beautiful offices all over the world Great culture and leaders Smart people, lots of innovators Opportunities to grow or move around the company",Middle management could use more training Upper management could encourage more of a work/life balance,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Beautiful offices all over the world Great culture and leaders Smart people, lots of innovators Opportunities to grow or move around the company",beauti offic world great cultur leader smart lot innov opportun grow move around,Middle management could use more training Upper management could encourage more of a work/life balance,middl manag use train upper manag encourag life balanc,Amazing place to work!,amaz place,0.2355733960866928,0.013303571380674839,0.7511230111122131,0.22226981818675995,neutral,0,0,0.0
Excellent Company,5.0,2024-09-12,"Prologis provides employees with resources and trust to succeed. The people at Prologis are intelligent, approachable, and professional. Everyone cares about doing the right thing and has a competitive spirit for success.",The performance rating scale can be difficult to understand.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis provides employees with resources and trust to succeed. The people at Prologis are intelligent, approachable, and professional. Everyone cares about doing the right thing and has a competitive spirit for success.",prolog provid employe resourc trust prolog everyon care right thing competit spirit,The performance rating scale can be difficult to understand.,perform scale difficult,Excellent Company,excel,0.07857097685337067,0.014402595348656178,0.9070263504981995,0.06416837871074677,neutral,0,0,0.0
A solid place to grow,5.0,2025-06-13,"Prologis is a great company to gain valuable experience, grow professionally, and continuously learn. The organization is committed to innovation and operational efficiency, always seeking ways to improve. What truly stands out is the emphasis on aligning people with roles that play to their strengths, enabling both individual and team success.","The environment is fast-paced and constantly evolving, which can be challenging for those who prefer more stability or structure.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is a great company to gain valuable experience, grow professionally, and continuously learn. The organization is committed to innovation and operational efficiency, always seeking ways to improve. What truly stands out is the emphasis on aligning people with roles that play to their strengths, enabling both individual and team success.",prolog great gain valuabl grow continu organ commit innov oper alway seek way truli stand emphasi align role play enabl individu team,"The environment is fast-paced and constantly evolving, which can be challenging for those who prefer more stability or structure.",environ fast pace constantli challeng prefer stabil,A solid place to grow,solid place grow,0.19166402518749237,0.01593760773539543,0.7923983931541443,0.17572641372680664,neutral,1,0,0.045454545454545456
Great stable company,5.0,2025-05-07,The stability of Prologis is one small piece of what makes this a great place to work.,"Very few cons, has great benefits.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,The stability of Prologis is one small piece of what makes this a great place to work.,stabil prolog small piec make great place,"Very few cons, has great benefits.",great,Great stable company,great stabl,0.3851432800292969,0.009693152271211147,0.6051635146141052,0.37545013427734375,neutral,0,0,0.0
"Good benefits, stable company",4.0,2025-04-05,"Decent WLB, depending on team of course. Good benefits","Lots of red tape, tough to get things done across teams.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Decent WLB, depending on team of course. Good benefits",decent depend team good benefit,"Lots of red tape, tough to get things done across teams.",lot red tough thing done across,"Good benefits, stable company",good stabl,0.4770926535129547,0.024004366248846054,0.49890294671058655,0.45308828353881836,neutral,1,0,0.2
10/10 company to work for,5.0,2025-09-18,"Company culture, career advancement/upward mobility, seamless cross team communication, trust instilled in employees","None come to mind, truly a great place to work!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Company culture, career advancement/upward mobility, seamless cross team communication, trust instilled in employees",career advanc upward seamless cross team trust instil employe,"None come to mind, truly a great place to work!",none come truli great place,10/10 company to work for,,0.06908513605594635,0.01332805585116148,0.9175868034362793,0.055757079273462296,neutral,0,0,0.0
Could have been so much more...,4.0,2025-08-24,Great management style (not micromanaged) Encourages/allows work from home/telecommunting Compensation is very competitive Great benefits,Too much emphasis on checking boxes Often times too conservative in taking risks Too many senior managers are trying to drive process but either fail to align or take too long to align.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great management style (not micromanaged) Encourages/allows work from home/telecommunting Compensation is very competitive Great benefits,great manag style micromanag encourag allow home telecommunt compens competit great benefit,Too much emphasis on checking boxes Often times too conservative in taking risks Too many senior managers are trying to drive process but either fail to align or take too long to align.,much emphasi check box often time conserv take risk mani senior manag tri drive process either fail align take long,Could have been so much more...,much,0.14753267168998718,0.011652178131043911,0.8408151268959045,0.1358805000782013,neutral,1,0,0.08333333333333333
"Not too good, Not too bad",5.0,2025-10-31,"Work-life balance is great, lots of PTO and holidays, rarely working a full 40 hours, great office location, and perks","Very lean company with lots of turnover, constant reshuffling of department structure, fast-paced, and very easy to get behind","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Work-life balance is great, lots of PTO and holidays, rarely working a full 40 hours, great office location, and perks",life balanc lot pto rare full great offic perk,"Very lean company with lots of turnover, constant reshuffling of department structure, fast-paced, and very easy to get behind",lean lot constant reshuffl depart fast easi behind,"Not too good, Not too bad",bad,0.09534461051225662,0.019919833168387413,0.8847355842590332,0.07542477548122406,neutral,0,0,0.0
Always something new to get involved in and be at the forefront of,5.0,2024-09-11,"Prologis offers a dynamic and inclusive work environment where innovation and collaboration are at the forefront of everything we do. The company provides ample opportunities for growth in and above your role, with a strong focus on professional development and career advancement. With a commitment to sustainability, community engagement, and employee well-being, Prologis fosters a culture that values both individual contributions and teamwork. There is a strong emphasis during the interview process on identifying candidates that make a good team and cultural fit to ensure collegiality and longevity of employment with the company - this is evident in how many people you speak with have been with the company 5, 10, 20 years. The company’s global reach and dedication to industry leadership make it an exciting place to build an impactful career and be at the forefront of a fast growing industry.",Workload can sometimes be very overwhelming,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis offers a dynamic and inclusive work environment where innovation and collaboration are at the forefront of everything we do. The company provides ample opportunities for growth in and above your role, with a strong focus on professional development and career advancement. With a commitment to sustainability, community engagement, and employee well-being, Prologis fosters a culture that values both individual contributions and teamwork. There is a strong emphasis during the interview process on identifying candidates that make a good team and cultural fit to ensure collegiality and longevity of employment with the company - this is evident in how many people you speak with have been with the company 5, 10, 20 years. The company’s global reach and dedication to industry leadership make it an exciting place to build an impactful career and be at the forefront of a fast growing industry.",prolog offer dynam inclus environ innov collabor forefront everyth provid ampl opportun growth strong focu profession develop career commit commun well prolog foster cultur valu individu contribut strong emphasi interview process identifi candid good team cultur fit ensur collegi longev employ evid mani speak global reach dedic industri leadership excit place build impact career forefront fast grow,Workload can sometimes be very overwhelming,workload sometim overwhelm,Always something new to get involved in and be at the forefront of,alway someth new involv forefront,0.3094169795513153,0.010905129835009575,0.6796779036521912,0.2985118627548218,neutral,3,0,0.05263157894736842
Great Company....,4.0,2025-06-10,Wonderful company culture and oh so many perks.,Endless meetings and at times unrealistic deadlines.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Wonderful company culture and oh so many perks.,wonder cultur oh mani,Endless meetings and at times unrealistic deadlines.,endless meet time unrealist,Great Company....,great,0.09123265743255615,0.030817653983831406,0.8779496550559998,0.06041500344872475,neutral,0,0,0.0
